# date,hour_no,t1,t1_diff,t2,t2_diff,t3,t3_diff,t1_song,t1_song_diff,t2_song,t2_song_diff,t3_song,t3_song_diff
02/13 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13 09:40,1,3632,3632,200,200,0,0,638942,638942,0,0,0,0
02/13 10:40,2,6730,3098,1855,1655,0,0,720886,81944,500886,500886,0,0
02/13 11:40,3,9261,2531,2480,625,200,200,750006,29120,586098,85212,121741,121741
02/13 12:40,4,11133,1872,3000,520,1004,804,771288,21282,626768,40670,378641,256900
02/13 13:40,5,13479,2346,3575,575,1668,664,788413,17125,651945,25177,481411,102770
02/13 14:40,6,15806,2327,4205,630,1980,312,802417,14004,673756,21811,534290,52879
02/13 15:40,7,17568,1762,4952,747,2184,204,813154,10737,688643,14887,564624,30334
02/13 16:40,8,19048,1480,5531,579,2543,359,821352,8198,699732,11089,588120,23496
02/13 17:40,9,20467,1419,6004,473,2762,219,829144,7792,708088,8356,602049,13929
02/13 18:40,10,21422,955,6412,408,2985,223,835227,6083,715403,7315,613000,10951
02/13 19:40,11,22170,748,6780,368,3178,193,841266,6039,719899,4496,620136,7136
02/13 20:40,12,23386,1216,7090,310,3390,212,843317,2051,724256,4357,627501,7365
02/13 21:40,13,24352,966,7420,330,3558,168,845872,2555,729498,5242,633709,6208
02/13 22:40,14,25380,1028,7775,355,3792,234,848926,3054,733322,3824,639869,6160
02/13 23:40,15,25922,542,8303,528,3947,155,852660,3734,737114,3792,645301,5432
02/14 00:40,16,26755,833,8781,478,4232,285,857611,4951,740840,3726,651307,6006
02/14 01:40,17,27811,1056,9261,480,4468,236,861332,3721,744292,3452,656269,4962
02/14 02:40,18,28688,877,9715,454,4848,380,865626,4294,747503,3211,660704,4435
02/14 03:40,19,29744,1056,10160,445,5096,248,868660,3034,750120,2617,665038,4334
02/14 04:40,20,30543,799,10608,448,5364,268,872649,3989,753420,3300,668569,3531
02/14 05:40,21,31635,1092,11066,458,5598,234,874586,1937,755586,2166,671608,3039
02/14 06:40,22,32779,1144,11494,428,5787,189,876495,1909,757844,2258,674243,2635
02/14 07:40,23,33723,944,11886,392,6000,213,878178,1683,759700,1856,677085,2842
02/14 08:40,24,34525,802,12234,348,6207,207,879674,1496,761584,1884,679096,2011
02/14 09:40,25,35332,807,12589,355,6400,193,881203,1529,763101,1517,680788,1692
02/14 10:40,26,36089,757,12927,338,6613,213,881740,537,764321,1220,682385,1597
02/14 11:40,27,37038,949,13232,305,6818,205,882673,933,765403,1082,684308,1923
02/14 12:40,28,37668,630,13637,405,7048,230,884054,1381,767184,1781,686038,1730
02/14 13:40,29,38743,1075,14113,476,7274,226,886144,2090,768271,1087,687792,1754
02/14 14:40,30,39828,1085,14624,511,7517,243,887184,1040,769564,1293,689203,1411
02/14 15:40,31,40858,1030,15317,693,7786,269,888215,1031,770928,1364,691327,2124
02/14 16:40,32,41746,888,15832,515,8133,347,889255,1040,772618,1690,693178,1851
02/14 17:40,33,42595,849,16235,403,8412,279,891826,2571,773797,1179,694600,1422
02/14 18:40,34,43292,697,16633,398,8643,231,892719,893,774959,1162,695890,1290
02/14 19:40,35,43802,510,16971,338,8827,184,893947,1228,775836,877,697362,1472
02/14 20:40,36,44382,580,17252,281,9001,174,894350,403,776848,1012,698747,1385
02/14 21:40,37,44929,547,17567,315,9186,185,894722,372,777768,920,699836,1089
02/14 22:40,38,45176,247,17858,291,9381,195,894777,55,778414,646,700759,923
02/14 23:40,39,45896,720,18130,272,9589,208,896233,1456,779187,773,701707,948
02/15 00:40,40,46287,391,18412,282,9796,207,896898,665,779823,636,702518,811
02/15 01:40,41,46972,685,18808,396,10014,218,897371,473,780532,709,703685,1167
02/15 02:40,42,48310,1338,19137,329,10229,215,898019,648,781633,1101,704655,970
02/15 03:40,43,49351,1041,19556,419,10438,209,898672,653,782723,1090,705534,879
02/15 04:40,44,50070,719,19946,390,10652,214,899239,567,783422,699,706533,999
02/15 05:40,45,50958,888,20364,418,10881,229,899719,480,784437,1015,707670,1137
02/15 06:40,46,51730,772,20697,333,11090,209,900005,286,785217,780,708538,868
02/15 07:40,47,52331,601,20978,281,11283,193,900268,263,786055,838,709396,858
02/15 08:40,48,52749,418,21270,292,11440,157,900638,370,786550,495,710114,718
02/15 09:40,49,53350,601,21581,311,11626,186,901197,559,787155,605,710763,649
02/15 10:40,50,54022,672,21892,311,11797,171,901464,267,787732,577,711310,547
02/15 11:40,51,54634,612,22208,316,11952,155,901978,514,788422,690,711926,616
02/15 12:40,52,55348,714,22513,305,12165,213,902892,914,788781,359,712480,554
02/15 13:40,53,56362,1014,22912,399,12382,217,903362,470,789189,408,713122,642
02/15 14:40,54,57443,1081,23387,475,12612,230,903398,36,789667,478,713756,634
02/15 15:40,55,58251,808,23795,408,12857,245,904138,740,790488,821,714288,532
02/15 16:40,56,59183,932,24147,352,13097,240,904811,673,791397,909,715061,773
02/15 17:40,57,59876,693,24584,437,13330,233,905438,627,792143,746,715725,664
02/15 18:40,58,60378,502,24896,312,13526,196,905556,118,792786,643,716286,561
02/15 19:40,59,60796,418,25157,261,13693,167,906099,543,793374,588,716725,439
02/15 20:40,60,61271,475,25313,156,13845,152,906224,125,793678,304,717231,506
02/15 21:40,61,61621,350,25497,184,14025,180,906367,143,794122,444,717689,458
02/15 22:40,62,62076,455,25694,197,14190,165,906554,187,794574,452,718238,549
02/15 23:40,63,62582,506,25933,239,14348,158,906805,251,794984,410,718547,309
02/16 00:40,64,63068,486,26182,249,14543,195,906838,33,795364,380,719041,494
02/16 01:40,65,63580,512,26459,277,14749,206,907082,244,795743,379,719497,456
02/16 02:40,66,64036,456,26723,264,14945,196,907225,143,796198,455,719934,437
02/16 03:40,67,64755,719,27000,277,15297,352,907819,594,797033,835,720311,377
02/16 04:40,68,65379,624,27329,329,15524,227,908602,783,797396,363,720770,459
02/16 05:40,69,66328,949,27617,288,15747,223,908788,186,797850,454,721127,357
02/16 06:40,70,66688,360,27896,279,15936,189,909196,408,798074,224,721542,415
02/16 07:40,71,67367,679,28101,205,16129,193,909377,181,798278,204,722131,589
02/16 08:40,72,68033,666,28346,245,16296,167,909477,100,798585,307,722449,318
02/16 09:40,73,68567,534,28513,167,16446,150,910011,534,798867,282,722882,433
02/16 10:40,74,69178,611,28756,243,16611,165,910591,580,799053,186,723300,418
02/16 11:40,75,69675,497,28980,224,16766,155,911046,455,799486,433,723658,358
02/16 12:40,76,70346,671,29208,228,16973,207,911344,298,799941,455,724150,492
02/16 13:40,77,71015,669,29478,270,17153,180,911635,291,800307,366,724602,452
02/16 14:40,78,71861,846,29788,310,17395,242,912138,503,800653,346,725063,461
02/16 15:40,79,72856,995,30125,337,17617,222,912354,216,800941,288,725532,469
02/16 16:40,80,73479,623,30439,314,17862,245,913125,771,801354,413,726334,802
02/16 17:40,81,74098,619,30672,233,18049,187,913426,301,801781,427,726818,484
02/16 18:40,82,74628,530,30989,317,18208,159,913598,172,802079,298,727221,403
02/16 19:40,83,75046,418,31186,197,18379,171,913686,88,802226,147,727565,344
02/16 20:40,84,75278,232,31422,236,18508,129,914122,436,802417,191,727800,235
02/16 21:40,85,75504,226,31591,169,18662,154,914505,383,802624,207,728003,203
02/16 22:40,86,75818,314,31850,259,18810,148,915070,565,802826,202,728276,273
02/16 23:40,87,76364,546,32101,251,18982,172,915419,349,803177,351,728497,221
02/17 00:40,88,76755,391,32375,274,19159,177,915816,397,803492,315,728736,239
02/17 01:40,89,77084,329,32595,220,19356,197,915958,142,803663,171,729022,286
02/17 02:40,90,78133,1049,32794,199,19558,202,916449,491,803959,296,729411,389
02/17 03:40,91,78574,441,33114,320,19744,186,916974,525,804438,479,729789,378
02/17 04:40,92,79188,614,33401,287,19941,197,917567,593,805047,609,730164,375
02/17 05:40,93,79729,541,33632,231,20101,160,917668,101,805375,328,730610,446
02/17 06:40,94,80164,435,33888,256,20290,189,917919,251,805585,210,730883,273
02/17 07:40,95,80762,598,34092,204,20451,161,918376,457,806113,528,731287,404
02/17 08:40,96,81409,647,34331,239,20598,147,918713,337,806427,314,731696,409
02/17 09:40,97,81871,462,34535,204,20752,154,918713,0,806793,366,731936,240
02/17 10:40,98,82440,569,34803,268,20911,159,920069,1356,806894,101,732398,462
02/17 11:40,99,82902,462,34966,163,21076,165,920461,392,807003,109,732542,144
02/17 12:40,100,83270,368,35126,160,21216,140,920681,220,807326,323,732850,308
02/17 13:40,101,83645,375,35383,257,21385,169,921006,325,807666,340,733072,222
02/17 14:40,102,84312,667,35685,302,21578,193,921410,404,808022,356,733404,332
02/17 15:40,103,84752,440,35988,303,21790,212,921711,301,808444,422,733641,237
02/17 16:40,104,85318,566,36331,343,22030,240,922500,789,808880,436,734051,410
02/17 17:40,105,86068,750,36578,247,22211,181,922759,259,809455,575,734500,449
02/17 18:40,106,86752,684,36836,258,22428,217,923254,495,810063,608,734824,324
02/17 19:40,107,87160,408,37040,204,22602,174,923296,42,810420,357,735096,272
02/17 20:40,108,87463,303,37198,158,22757,155,923544,248,810860,440,735477,381
02/17 21:40,109,87798,335,37406,208,22901,144,923730,186,811047,187,735713,236
02/17 22:40,110,88019,221,37630,224,23031,130,924105,375,811367,320,735851,138
02/17 23:40,111,88455,436,37804,174,23216,185,924126,21,811609,242,735991,140
02/18 00:40,112,89046,591,38079,275,23410,194,924191,65,811959,350,736212,221
02/18 01:40,113,90013,967,38340,261,23629,219,924743,552,812206,247,736562,350
02/18 02:40,114,90682,669,38628,288,23827,198,924930,187,812379,173,736780,218
02/18 03:40,115,91026,344,38948,320,24046,219,925290,360,812724,345,737121,341
02/18 04:40,116,91632,606,39284,336,24219,173,925519,229,812882,158,737325,204
02/18 05:40,117,92050,418,39552,268,24400,181,925633,114,813064,182,737529,204
02/18 06:40,118,92530,480,39761,209,24580,180,926230,597,813144,80,737724,195
02/18 07:40,119,93047,517,39975,214,24778,198,926597,367,813300,156,737877,153
02/18 08:40,120,93317,270,40188,213,24978,200,926939,342,813423,123,738069,192
02/18 09:40,121,93674,357,40339,151,25090,112,926951,12,813669,246,738222,153
02/18 10:40,122,94211,537,40508,169,25224,134,927431,480,813801,132,738487,265
02/18 11:40,123,94543,332,40696,188,25349,125,927510,79,814108,307,738777,290
02/18 12:40,124,95043,500,40899,203,25489,140,927974,464,814276,168,739062,285
02/18 13:40,125,95928,885,41091,192,25662,173,928583,609,814510,234,739330,268
02/18 14:40,126,96629,701,41340,249,25830,168,928716,133,814846,336,739554,224
02/18 15:40,127,97018,389,41647,307,26018,188,929327,611,815035,189,739749,195
02/18 16:40,128,97778,760,41874,227,26227,209,929672,345,815420,385,740159,410
02/18 17:40,129,98484,706,42212,338,26380,153,929738,66,815716,296,740388,229
02/18 18:40,130,99033,549,42455,243,26555,175,929790,52,815917,201,740567,179
02/18 19:40,131,99372,339,42762,307,26681,126,930328,538,816411,494,740851,284
02/18 20:40,132,99709,337,42912,150,26788,107,930393,65,816514,103,741282,431
02/18 21:40,133,99998,289,43101,189,26926,138,930859,466,816629,115,741366,84
02/18 22:40,134,100513,515,43304,203,27057,131,931521,662,816881,252,741523,157
02/18 23:40,135,101033,520,43485,181,27186,129,931746,225,817035,154,741726,203
02/19 00:40,136,101535,502,43717,232,27356,170,931853,107,817139,104,741935,209
02/19 01:40,137,102161,626,43928,211,27546,190,931861,8,817506,367,742132,197
02/19 02:40,138,102684,523,44202,274,27704,158,932386,525,817828,322,742398,266
02/19 03:40,139,103212,528,44499,297,27832,128,932615,229,817907,79,742553,155
02/19 04:40,140,103712,500,44794,295,28015,183,933143,528,818117,210,742710,157
02/19 05:40,141,104312,600,45047,253,28217,202,933250,107,818252,135,743026,316
02/19 06:40,142,104880,568,45283,236,28419,202,933266,16,818504,252,743246,220
02/19 07:40,143,105371,491,45490,207,28580,161,933601,335,818716,212,743437,191
02/19 08:40,144,105681,310,45710,220,28674,94,933797,196,818878,162,743609,172
02/19 09:40,145,106164,483,45964,254,28808,134,933829,32,819135,257,743764,155
02/19 10:40,146,106582,418,46212,248,28945,137,933907,78,819427,292,743874,110
02/19 11:40,147,107027,445,46466,254,29077,132,934101,194,819634,207,744105,231
02/19 12:40,148,107330,303,46660,194,29189,112,934222,121,819848,214,744306,201
02/19 13:40,149,108095,765,46951,291,29334,145,934876,654,820088,240,744406,100
02/19 14:40,150,109060,965,47259,308,29527,193,935067,191,820309,221,744678,272
02/19 15:40,151,109930,870,47607,348,29747,220,935250,183,820657,348,744852,174
02/19 16:40,152,110181,251,47935,328,29954,207,935272,22,820865,208,745062,210
02/19 17:40,153,110396,215,48230,295,30136,182,936247,975,821118,253,745223,161
02/19 18:40,154,110515,119,48459,229,30287,151,936407,160,821186,68,745365,142
02/19 19:40,155,110971,456,48715,256,30415,128,936624,217,821526,340,745636,271
02/19 20:40,156,111278,307,48930,215,30545,130,936726,102,821741,215,745786,150
02/19 21:40,157,111654,376,49065,135,30679,134,936726,0,821854,113,745825,39
02/19 22:40,158,111799,145,49254,189,30824,145,937210,484,822126,272,746042,217
02/19 23:40,159,112178,379,49417,163,30979,155,937419,209,822249,123,746207,165
02/20 00:40,160,112617,439,49681,264,31138,159,937423,4,822493,244,746465,258
02/20 01:40,161,113019,402,49970,289,31312,174,937590,167,822716,223,746758,293
02/20 02:40,162,113775,756,50165,195,31493,181,937671,81,822990,274,746961,203
02/20 03:40,163,114368,593,50488,323,31686,193,937783,112,823187,197,747232,271
02/20 04:40,164,115140,772,50748,260,31846,160,938088,305,823392,205,747437,205
02/20 05:40,165,115452,312,51032,284,32060,214,938225,137,823485,93,747644,207
02/20 06:40,166,116015,563,51383,351,32267,207,939003,778,823607,122,747769,125
02/20 07:40,167,116341,326,51641,258,32440,173,939479,476,823764,157,747906,137
02/20 08:40,168,116929,588,51932,291,32568,128,939511,32,823857,93,747945,39
02/20 09:40,169,117267,338,52105,173,32681,113,939552,41,824049,192,747992,47
02/20 10:40,170,117861,594,52368,263,32820,139,939687,135,824133,84,748146,154
02/20 11:40,171,118297,436,52520,152,32943,123,939945,258,824414,281,748418,272
02/20 12:40,172,118792,495,52726,206,33082,139,940310,365,824551,137,748576,158
02/20 13:40,173,119247,455,53093,367,33259,177,940505,195,824710,159,748817,241
02/20 14:40,174,119620,373,53502,409,33417,158,940843,338,824871,161,749016,199
02/20 15:40,175,120016,396,53746,244,33627,210,940911,68,825185,314,749147,131
02/20 16:40,176,120395,379,54089,343,33783,156,941062,151,825672,487,749411,264
02/20 17:40,177,120922,527,54368,279,33962,179,941117,55,825763,91,749499,88
02/20 18:40,178,121238,316,54569,201,34112,150,941292,175,826045,282,749714,215
02/20 19:40,179,121579,341,54774,205,34256,144,941715,423,826110,65,749795,81
02/20 20:40,180,121971,392,54991,217,34379,123,941990,275,826331,221,749933,138
02/20 21:40,181,122268,297,55112,121,34521,142,942207,217,826478,147,750089,156
02/20 22:40,182,122543,275,55291,179,34658,137,942648,441,826494,16,750228,139
02/20 23:40,183,123201,658,55519,228,34800,142,942860,212,826605,111,750294,66
02/21 00:40,184,123977,776,55781,262,34982,182,943065,205,826741,136,750457,163
02/21 01:40,185,124491,514,56070,289,35143,161,943713,648,826860,119,750589,132
02/21 02:40,186,124958,467,56369,299,35287,144,943713,0,827045,185,750888,299
02/21 03:40,187,125349,391,56721,352,35427,140,943768,55,827171,126,751057,169
02/21 04:40,188,125749,400,56991,270,35583,156,943937,169,827503,332,751237,180
02/21 05:40,189,126213,464,57383,392,35766,183,943937,0,827669,166,751572,335
02/21 06:40,190,126556,343,57632,249,35919,153,944059,122,827808,139,751666,94
02/21 07:40,191,126990,434,57847,215,36047,128,944095,36,827853,45,751811,145
